TF_id,mean_value,pvalue,TFPeak_number,rank
TCP7,0.06544375500392166,1.9410577947178872e-018,3324,74
GBF3,0.08936571401458798,2.229675600204495e-18,5577,75
TCP21,0.0648121757840554,2.235347333633382e-18,3893,76
PTF1,0.05226379739035685,4.035051913305305e-18,3387,77
WRKY50,0.060758593065268714,5.282360156457097e-18,4112,78
MYC2,0.08551815857975684,7.225652148655367e-18,4504,79
WRKY24,0.05639239661485504,9.525386575345612e-18,3760,80
bZIP28,0.08476177473338996,2.4942234157081033e-17,5133,81
BHLH13,0.09077562258808601,2.689541134258824e-17,6060,82
BEH4,0.08236113305990761,4.3476139490420056e-17,5079,83
RVE1,0.04943531236679148,4.5504086185774585e-17,3290,84
bZIP3,0.0672605081251231,9.322773949445797e-17,4167,85
At1g72010,0.06503041695096745,9.328964668625508e-17,3670,86
bHLH69,0.07151276575744521,1.2204685304604198e-16,4609,87
WRKY70,0.04068288576934079,1.2371377350539958e-16,2920,88
bZIP42,0.04450154894471948,1.4219112575753627e-16,3215,89
BHLH34,0.09300721335233494,1.627179865176737e-16,5997,90
MYC4,0.07961512696008542,2.057494025063693e-16,5008,91
At5g05790,0.039438086340839,2.8477119008265504e-16,3130,92
AGL42,0.075216929196677,3.569996871335627e-16,6287,93
HBI1,0.0720857816914045,4.0432973283894943e-16,4003,94
ZHD1,0.056429823645613476,5.153758039209855e-16,3588,95
AGL13,0.05633813543964014,5.430654763001646e-16,4711,96
WRKY27,0.051649180335216927,5.74124496293358e-16,3735,97
TCP8,0.05334765409389303,6.134069872489174e-16,3966,98
UNE10,0.06893916878393205,7.207226811465389e-16,5192,99
BZR1,0.0668842245373974,7.735779192300968e-16,3965,100
WRKY55,0.05234511105431498,7.964972786691419e-16,3124,101
ARF1,0.016393600155279242,9.235419633873349e-16,2252,102
GBF6,0.05082670987607842,9.354357616711875e-16,3439,103
CDF2,0.06699316776131087,1.0472010115461174e-15,4836,104
WRKY6,0.040307394469803026,1.0474639266626507e-15,3527,105
TCP16,0.051882792188441954,1.1333456496429524e-15,3674,106
GT-2,0.044961040873268375,1.4602002106631647e-15,3403,107
TCP15,0.051767798604134774,1.8316843562927575e-15,3453,108
ATHB15,0.038302065989781454,1.9091345881344318e-015,2616,109
PIF1,0.07972084247687511,2.2203802261021633e-15,6231,110
bZIP53,0.045456336668984194,2.705758219579543e-15,3413,111
AGL6,0.07361063191806802,3.4545916072660476e-15,5563,112
GBF2,0.058540913502457784,3.581337619689374e-15,4854,113
RAP2-10,0.02196430240580722,3.703749459057088e-15,2476,114
OBP4,0.06670732638960675,4.2847459843539766e-15,6427,115
WRKY47,0.04357679865477127,4.586812480338179e-15,2903,116
MYB118,0.013238987111313102,5.865976710453197e-15,1753,117
WRKY46,0.043360693389395306,8.367185705672738e-15,4296,118
BHLH3,0.07861581078342726,8.379700282461898e-15,5316,119
DOF1.8,0.0457347325238694,8.679621781057264e-15,3507,120
AT3G10113,0.0459151669432403,1.194587144068129e-14,3390,121
MYB101,0.038875958188558005,1.2808019599680957e-14,4957,122
AHL20,0.04942972369566001,1.425975308021985e-14,5278,123
bHLH80,0.05557018304179449,1.5565842321032755e-14,2705,124
TCX3,0.06121859908465407,1.8360732726154908e-14,4101,125
WRKY7,0.0584308708584216,2.0843100459338026e-14,4128,126
bZIP44,0.043854031798115124,2.755367747077802e-14,3495,127
