TF_id,num_TFHit_inputFeature,inputRatio,bgRatio,pvalue,odds_ratio,padj,qvalue,rank
WRKY20,279,279/1447,3134/22994,3.95520593381692e-10,1.5638662784805053,1.6611864922031065e-7,7.122219568697936e-10,49
BEH2,255,255/1447,2811/22994,4.5560379223328595e-10,1.5894215027564367,1.908979889457468e-7,8.036225787484053e-10,50
MYB56,158,158/1447,1540/22994,4.644938505165783e-10,1.7884144775319837,1.9415842951592973e-7,8.036225787484053e-10,51
AP1,678,678/1447,9014/22994,5.954704132186823e-10,1.397217239245888,2.483111623121905e-7,1.010413597090524e-9,52
WRKY28,243,243/1447,2668/22994,8.956444898293529e-10,1.5914368868285227,3.7258810776901083e-7,1.4910840563196775e-9,53
PI,775,775/1447,10555/22994,1.0001340202334373e-9,1.387550345475483,4.1505561839687644e-7,1.6342059154141133e-9,54
ZHD6,250,250/1447,2769/22994,1.1129872260183194e-9,1.5776078327166627,4.607767115715842e-7,1.785541004307464e-9,55
IDD4,631,631/1447,8321/22994,1.176007599537471e-9,1.3933492437442816,4.856911386089755e-7,1.8529531505317298e-9,56
Adof1,727,727/1447,9817/22994,1.4295464333035655e-9,1.3836894176012031,5.88973130521069e-7,2.212920175392516e-9,57
AHL12,229,229/1447,2508/22994,2.4609330494188025e-9,1.5895290419166992,1.0114434833111277e-6,3.6803584986323067e-9,58.5
AHL25,229,229/1447,2508/22994,2.4609330494188025e-9,1.5895290419166992,1.0114434833111277e-6,3.6803584986323067e-9,58.5
BHLH34,330,330/1447,3910/22994,2.9495358587540645e-9,1.4826698772773683,1.2063601662304124e-6,4.337552733461859e-9,60
SPL11,131,131/1447,1245/22994,3.4973144988407506e-9,1.8256783550725113,1.4269043155270262e-6,5.058796285690574e-9,61
GT-A3,255,255/1447,2882/22994,4.9473907844130735e-9,1.5406871713905617,2.013588049256121e-6,6.98996553600136e-9,62
bZIP3,302,302/1447,3534/22994,4.990835392704971e-9,1.4946096054515348,2.026279169438218e-6,6.98996553600136e-9,63
KAN1,219,219/1447,2402/22994,6.700392102642874e-9,1.5818853624714684,2.713658801570364e-6,9.082750023920952e-9,64
COG1,671,671/1447,9019/22994,6.725241594958451e-9,1.3671102916692506,2.7169976043632143e-6,9.082750023920952e-9,65
TCP7,235,235/1447,2619/22994,6.861037799993016e-9,1.55851398425238,2.7649982333971852e-6,9.082750023920952e-9,66
bHLH69,299,299/1447,3503/22994,6.896834851497309e-9,1.4910696913193249,2.7725276103019182e-6,9.082750023920952e-9,67
ANL2,164,164/1447,1681/22994,8.084163806828066e-9,1.6877168676584473,3.2417496865380542e-6,1.0489831929275172e-8,68
ATHB-16,311,311/1447,3679/22994,8.513959660123563e-9,1.4776483192189704,3.405583864049425e-6,1.0887416445170797e-8,69
ATHB13,205,205/1447,2223/22994,9.103152799212165e-9,1.5972718399525698,3.6321579668856538e-6,1.1474562351948105e-8,70
HDG1,170,170/1447,1762/22994,9.2398734612646e-9,1.6686062379573596,3.677469637583311e-6,1.1482858485415824e-8,71
TCP8,275,275/1447,3180/22994,9.82052286808455e-9,1.505711474234533,3.898747578629567e-6,1.2034954495201655e-8,72
SPT,324,324/1447,3869/22994,1.0127274245405241e-8,1.4650795586343792,4.010400601180475e-6,1.2240863310320597e-8,73
ATHB18,217,217/1447,2389/22994,1.0864585506987188e-8,1.5737091168852468,4.291511275259939e-6,1.295459321182892e-8,74
ATHB20,218,218/1447,2416/22994,1.7230693190341934e-8,1.5614334250412674,6.788893116994722e-6,2.0271403753343453e-8,75
ARF2,282,282/1447,3303/22994,2.084185438844584e-8,1.484379295740001,8.190848774659216e-6,2.4197199367390683e-8,76
ABI5,318,318/1447,3812/22994,2.1867256986450082e-8,1.4552956761518954,8.571964738688433e-6,2.505797210059215e-8,77
bZIP28,331,331/1447,3998/22994,2.2486440211092494e-8,1.4461462963450689,8.792198122537165e-6,2.5437149560059382e-8,78
BHLH13,292,292/1447,3456/22994,2.9964612382389026e-8,1.4688313197526839,1.168619882913172e-5,3.3467549198498536e-8,79
HY5,266,266/1447,3118/22994,6.342963719737788e-8,1.4763810820617496,2.4674128869779995e-5,6.995915867357855e-8,80
WRKY18,250,250/1447,2896/22994,6.456244269514493e-8,1.4918705213741634,2.5050227765716233e-5,7.032945827357834e-8,81
At2g45680,191,191/1447,2092/22994,6.636449883671469e-8,1.5715328628756582,2.5683061049808585e-5,7.141086675399714e-8,82
ABF2,226,226/1447,2571/22994,7.705056633591463e-8,1.5156049350104255,2.9741518605663044e-5,8.191059497085183e-8,83
DOF2.4,674,674/1447,9196/22994,8.94626802714083e-8,1.332611035902142,3.444313190449219e-5,9.397340364643729e-8,84
AT1G47655,259,259/1447,3034/22994,9.393356253186801e-8,1.4747609626303249,3.6070488012237316e-5,9.695112840212206e-8,85
At2g38090,268,268/1447,3160/22994,9.44950331492683e-8,1.466253130905769,3.619159769616976e-5,9.695112840212206e-8,86
WRKY26,278,278/1447,3304/22994,1.0447600784170123e-7,1.455516335729559,3.990983499552987e-5,1.0595944000172538e-7,87
BEH4,264,264/1447,3110/22994,1.1186302189563043e-7,1.466358220920207,4.261981134223519e-5,1.1216212088465617e-7,88
TCX3,290,290/1447,3490/22994,1.6301621041286438e-7,1.4370486177339543,6.194615995688847e-5,1.6161554237891377e-7,89
bHLH77,246,246/1447,2874/22994,1.7206214045495585e-7,1.4745365649701114,6.521155123242827e-5,1.6868837299505474e-7,90
