TF_id,mean_value,pvalue,TFPeak_number,rank
GSE68193.PIF5.Col-0_seedling_5d,0.24829815485807688,1.0519923990633727e-44,7021,90
GSE80564.RD26.Col-0_seedling_3d-ABA,0.3013108053991693,1.6013689572233172e-44,21409,91
GSE51770.ARF.Col-0_seedling-etiolated_5d,0.15871051887410617,2.350490304234361e-44,2567,92
GSE79554.AGL8.Col-0xLer_gynoecium-silique-fruit_stage12-16,0.12998842358744406,3.58256672927969e-44,2824,93
GSE14600.SEP3.Ler_inflorescence_5-7w,0.16475327740456244,4.708122741291444e-44,5862,94
GSE39215.PIF3.Col-0_seedling_2d,0.12881057545919783,5.130314258971513e-44,1731,95
GSE94486.ARR1.Col-0_seedling_3d-Dex-4h,0.27020803392481374,3.865128627509789e-43,12934,96
GSE57497.SPCH.Col_seedling_4d,0.31357354829450534,5.426340627367523e-43,21502,97
GSE76571.TFL2.Col-0_seedling_14,0.20682231229929143,4.429732894803447e-42,11703,98
GSE109149.WRKY18-33-40.Col-0_seedling_12d-mutant-flg22-2h,0.2514321192333312,5.7327825315424414e-42,14869,99
GSE43284.PIF4.Col-0_seedling_3d,0.1183452369470837,8.884566877709375e-42,1532,100
GSE108960.EZA1.Col-0_seedling_10d,0.16872020562724918,2.5059014300971137e-40,2725,101
GSE95562.FIE.Ws_whole-plant_30h-wt,0.1720384441251097,7.996340602078004e-40,2643,102
GSE70533.CCA1.Ws-2_seedling_14d-LD,0.17294995265307841,1.847005820927613e-39,5527,103
GSE109149.WRKY18-33-40.Col-0_seedling_12d-wt-flg22-0h,0.2351387374850702,3.6360436017311286e-37,14542,104
GSE48082.MAF1.Col-0_seedling_10d-genomicFLM,0.12385421468119959,4.07878698549893e-37,4529,105
GSE67903.CCA1.Col-0_seedling_14d,0.12650893052739134,1.2273022624960817e-36,5046,106
GSE95301.AGO1.Col-0_seedling_10d-wt_Coldcontrol,0.26968512465713956,2.8280131515602093e-36,17902,107
GSE109149.WRKY18-33-40.Col-0_seedling_12d-mutant-flg22-0h,0.21907957682408102,9.435131758749554e-35,15277,108
GSE46986.SEP3.Ler_inflorescence_4w-2d,0.14560916201582827,6.2638468993781e-34,4306,109
GSE95301.AGO1.Col-0_seedling_10d-wt_Flg22control,0.2780603155984761,2.7149590503645078e-33,22997,110
GSE85922.WRKY40.Col-0_seedling_12d,0.12789938911405785,4.6113323240021466e-33,6438,111
GSE49282.APRR7.Col-2_seedling_2w,0.18414190607040454,6.70482287635058e-33,4713,112
GSE52175.LHY.Ws_seedling_2w-wt,0.1483553238419039,3.916427321511705e-32,5505,113
GSE60554.MYB3R-3.Col-0_seedling_9d,0.12565975163990464,6.361400075349998e-32,5167,114
GSE95301.AGO1.Col-0_seedling_10d-wt_BTHcontrol,0.2726061252052894,8.907652230092755e-32,23986,115
GSE60141.ZHD3.Col-0_leaves_tnt_colamp,0.16800400765856885,4.839274639282154e-31,10835,116
GSE60141.BIM2.Col-0_leaves_tnt_col,0.13637800847097012,9.340167909203207e-30,5565,117
GSE60141.PC-MYB1.Col-0_leaves_tnt_col,0.07505422201878495,1.2403030674033653e-29,4066,118
GSE95301.AGO1.Col-0_seedling_10d-wt_Flg22,0.22563385914586476,2.577844687269182e-29,19145,119
GSE95301.AGO1.Col-0_seedling_10d-wt_IAA,0.24941255247724814,2.929522970496871e-29,22524,120
GSE64245.LFY-TERE.Col-0_seedling_15d-LFY-TERE,0.12566960118975723,6.429399708628003e-29,3929,121
GSE21301.AP2.Col-0_inflorescence,0.0944198804309318,1.6998297298335564e-28,1967,122
GSE60142.ABI5.Col-0_seedling_36h-wt,0.1402953700167008,3.917775235541659e-28,3323,123
GSE95301.AGO1.Col-0_seedling_10d-wt-BTH,0.2551597715775472,4.862586927258875e-28,23267,124
GSE117797.HY5.Ws_whole-plant_10d-red-light,0.17190926290899528,2.1274835424883593e-27,9536,125
GSE60141.ZHD6.Col-0_leaves_tnt_colamp,0.17886373577939446,5.503647411550189e-27,16787,126
GSE95301.AGO1.Col-0_seedling_10d-wt_Cold,0.2300647711324304,1.845367282245239e-26,20765,127
GSE108960.CLF.Col-0_seedling_10d,0.09187628687358755,1.8410730491079443e-25,1913,128
GSE95301.AGO1.Col-0_seedling_10d-wt_IAAcontrol,0.21620069401496222,4.700790954983524e-23,24522,129
GSE84483.BPC1.Col_whole-plant_30h,0.10448766353947916,5.922901031088614e-23,3114,130
GSE45938.AG.Ler-0_inflorescence_4w,0.09131045524624454,9.056337518732475e-23,3332,131
GSE60141.AT2G20110.Col-0_leaves_tnt_colamp,0.170034954771643,1.1015105084795632e-22,23825,132
GSE95301.AGO1.Col-0_seedling_10d-wt_MeJAcontrol,0.152963593864205,7.762199496233106e-22,12131,133
GSE60141.PC-MYB1.Col-0_leaves_tnt_colamp,0.1002518144401,1.0480383309857959e-21,7013,134
GSE60011.AT1G14580.Col-0_roots,0.06890929645754137,1.3459606943547057e-20,5270,135
GSE60141.HY5.Col-0_leaves_tnt_colamp,0.09870600951839054,2.2342314602694297e-20,5003,136
GSE60141.ATMYB119.Col-0_leaves_tnt_col,0.04204487633229025,2.391608952547617e-20,2117,137
GSE89889.FLC.Col-FRI_aerial-part_2w,0.03621696435654412,5.465708294346679e-20,936,138
GSE68193.CRY2.Col-0_seedling_5d,0.09783401067022371,1.805224669061531e-19,2572,139
GSE69431.TRB1.Col-0_seedling_TRB1-GFP_14d,0.15583285871992159,1.8734921772363087e-19,14850,140
GSE60141.ERF021.Col-0_leaves_tnt_col,0.05600483712328569,1.8557592033247728e-18,5398,141
GSE80564.DREB2A.Col-0_seedling_3d-EtOH,0.08501223157604908,2.3270955641859738e-18,3602,142
GSE60141.BZIP68.Col-0_leaves_tnt_col,0.1039942255099157,2.6563697232134446e-18,4187,143
GSE38358.PI.Ler_flower_4w-dex,0.10856385774984398,3.769632660664883e-18,6790,144
GSE79354.HSFA1A.Col-0_seedling_12d-15min-17c,0.054308475488247555,1.2876552682033115e-17,1516,145
GSE95301.AGO1.Col-0_seedling_10d-wt_MeJA,0.12002008226428518,2.1430578070422013e-17,11007,146
GSE70533.CCA1.Ws-2_seedling_14d-LL,0.07993733276359488,6.96214965762441e-17,2699,147
GSE60141.AT5G47660.Col-0_leaves_tnt_colamp,0.09953629807172082,9.341621373292476e-17,13710,148
GSE60141.EICBP-B.Col-0_leaves_tnt_col,0.06069474249604298,5.385960423791708e-16,2482,149
GSE60141.WRKY71.Col-0_leaves_tnt_col,0.04399526989636551,8.841291525338633e-16,3159,150
GSE60141.NAC002.Col-0_leaves_tnt_colamp,0.057698710734189085,2.8633372802531827e-15,5738,151
GSE60141.TGA6.Col-0_leaves_tnt_col,0.04595260832209261,3.1727268736337757e-15,2940,152
GSE60141.MYB118.Col-0_leaves_tnt_colamp,0.042179636674930215,5.47688270165529e-15,3655,153
GSE30711.FHY3.No-0_seedling_4d-dark,0.040615626061107836,7.610105352727193e-15,1920,154
GSE60141.TGA9.Col-0_leaves_tnt_col,0.04404254824210513,7.81805064115212e-15,2490,155
GSE60141.AtbZIP3.Col-0_leaves_tnt_col,0.07320876794397721,1.1045574008430092e-14,3458,156
