TF_id,WT_E5_0h_R1,WT_E5_0h_R2,WT_E5_4h_R1,WT_E5_4h_R2,WT_E5_8h_R1,WT_E5_8h_R2,WT_E5_16h_R1,WT_E5_16h_R2,WT_E5_24h_R1,WT_E5_24h_R2,WT_E5_48h_R1,WT_E5_48h_R2,WT_E5_48h_R3,WT_E5_72h_R1,WT_E5_72h_R2,WT_E5_72h_R3
WRKY55,0.346945213167366,0.43955918085221335,-0.9132499266836087,-0.5672964029137779,0.4044287858153808,0.517652342771608,-1.2852127518908265,-1.4187123129661308,-0.23513679086214964,0.2572205162827893,0.27386543638531397,-0.13700652059787546,-0.06700063638160315,0.5862726494026449,0.698215019320807,0.6054624085057516
WRKY11,0.6846104934522019,0.9717065019881965,0.6511382223610432,0.2572205162827893,1.0999187570821543,1.1197495278759124,-0.9462578347633596,-1.0999187570821543,-0.5115380398553485,-0.9214077063693253,-0.698215019320807,-0.8812082251841601,-0.9631543195066732,-0.7755170610270775,-0.4044287858153808,0.04554210636070453
WRKY31,0.5547585400265583,1.4486480419347214,0.34126249065786685,0.4454661650803933,0.6379530030286191,0.5115380398553485,0.45138873387405687,-0.3640616602004256,-0.554758540026558,-0.7683021589798121,-0.6248777720424508,-0.7611270308966579,-0.7683021589798121,-0.02410452898060304,-0.2794304183604154,-1.2150186604198285
WRKY70,-0.6445316061066132,-0.7398323791085591,1.2852127518908265,1.3100735947277953,1.5472836116060342,1.322813412009698,-0.9803303522249299,-1.5297913795462077,-0.8272071528766829,-0.469252883812802,-1.3357716204898045,-1.3100735947277953,-0.698215019320807,-0.4395591808522135,0.3017790363535785,-0.03482131726034769
WRKY3,0.1749599401657325,0.08311426437365704,0.4102481383343704,0.5423072853998011,0.3697906780238195,0.0241045289806029,0.45732717854092003,0.4993662832382226,-0.06163349704763414,0.11002044271115592,-0.15866651137713356,-0.09924950325268884,-0.5176523427716081,-0.6445316061066132,-0.4573271785409198,-0.469252883812802
WRKY42,-0.3640616602004256,1.0999187570821543,1.0999187570821543,1.160792003464767,0.48726806452123755,0.9890277338786998,-0.937910127211592,-1.496146876216362,-1.322813412009698,-1.1400307167488717,-0.31863936396437514,-0.463281794980354,-1.0615026297045764,0.23513679086214964,0.7050658929000242,-0.9132499266836087
WRKY47,0.43955918085221335,0.4277908230703917,0.24616364666135948,0.7468929114901232,1.583762116539097,1.4486480419347214,0.3017790363535785,0.9462578347633593,-0.3526391619229506,-1.1820660672895331,-0.8272071528766829,-1.3357716204898045,-1.9673289538075787,-0.6711315147657183,-0.9717065019881965,-0.15324492856537705
WRKY7,0.7328085370796356,1.2852127518908265,0.3130094214656357,0.8423847084436877,1.433519600087623,1.496146876216362,-0.16952384856926508,0.3130094214656357,-1.226300880644619,-1.109779588322558,-0.7900695024470359,-1.2730749331293942,-1.1820660672895331,-1.0709586242267903,-0.7258206630767678,-0.8891329656800708
WRKY14,-0.8577588417227449,-1.0155807829346575,-0.4812457055488878,-0.8047912168496852,-0.018747249718058422,-0.3017790363535785,0.16952384856926508,-0.07236970645650206,1.2493462419630998,0.9379101272115916,0.7539908752671884,0.8655223818729181,0.9546720080897412,0.3130094214656357,0.29617817270122565,0.2572205162827893
WRKY24,-0.8272071528766829,-0.698215019320807,0.2627606811759701,0.3242794243706307,0.06163349704763414,-0.15324492856537705,0.9296272709001898,0.3697906780238195,-0.19129995251595547,-0.5115380398553485,-0.2905865847492115,0.7683021589798121,0.06700063638160315,0.7900695024470359,0.4752407505132448,-0.39862309718566696
