TF_id,WT_E5_0h,WT_E5_4h,WT_E5_8h,WT_E5_16h,WT_E5_24h,WT_E5_48h,WT_E5_72h
ABI3,-1.4308860581919787,-1.8571637244194343,-2.5251609223122493,1.1691765699324623,0.8329544470500931,2.7224180122628754,2.5532037285201445
MYC2,-1.1224245242969229,-0.4351982333414798,-0.9305612834624866,0.2590924733468237,0.9074428730525206,1.0127428756102945,0.9657261166816964
ERF1B,0.20226165685060238,-0.4906545135872396,-0.3879152337165505,-1.1579966695706894,-0.7360693016680482,1.5501800401765848,0.9617637740689087
MYC3,0.370658339635512,0.39874406432531345,0.3365318046645225,0.2602989687962153,-0.4389794201315254,-0.19452316246541568,-0.5859908920449851
MYC4,1.0612851033890391,0.8161538162074155,-1.0462809844180776,-1.2895912874238478,-0.8480261949409709,0.36247798066660947,0.5021967546650195
AG,-0.4150097542046374,-1.050718354939327,-0.7550399766559774,0.3042972642849898,-0.41526896519348366,0.9490625827397744,1.1382247539917985
ANT,-1.1184480745900394,-1.2103665531206473,-3.7327449709561846,0.3052400731758997,2.1686861288919386,3.217779222624756,2.9871499858753072
HAT5,-0.0077486968751691605,0.42014968015323495,0.8128129113364501,-2.475473953332348,-0.2962583792825141,-0.8733478319943556,1.8394101120057555
ATHB-9,-1.3112594465397622,-2.9960422147691737,-2.9451538625665674,-1.6045493703108213,1.6282449667589443,3.6232684502218593,3.804223310179823
MYB15,1.7094692392349526,-1.1833556211498053,0.37471823814936395,-0.7410048117476629,-0.04518731055673373,0.27346055326311297,-0.5252819424981869
F3A4.140,1.2354736296570212,-2.4604389284943378,0.38636270791097155,0.22169188925066985,-0.9674541101246862,1.5870343312111994,0.7856084530837911
RAX3,-1.3563222276697964,0.02345623952184376,1.8787774328928604,1.0123782745348,-2.90050799636864,1.0320135459747826,-0.17952508592972977
SPL8,0.8065476858191425,-1.6177213761903035,-3.0818613091880973,-0.6164499312030314,1.2869478265108012,1.3428694281620428,3.186964548089556
CDC5,-1.3603847141469028,-2.4619978635465376,0.3250006365974628,3.3184623509316165,-2.5381031755560657,2.201070299061591,0.8030757129901651
DYT1,0.015429255474880624,-1.458863420963386,-2.447516605283016,0.12100681563874685,2.0797277803418863,1.9918183499300737,1.4513897692242819
LEC2,-1.7698742169191093,-3.1576189788239373,-3.64827145502052,-0.13359262812143277,2.595144278374443,3.737017648424429,4.249208810709791
RAV1,-1.2024673226897256,-0.7226001450443871,-2.5829834202922664,-0.5524987080174446,0.8261467049688606,2.7658320125315567,2.0620203142859497
RAV1_var.2,-2.656433826677338,-3.0840306484447484,-1.6871250174033958,2.292863833287327,1.8020153993889028,3.8277778913183798,1.9652484314120353
SEP1,0.4312359140315242,-1.8544591824636556,-0.33020882916962296,1.2041934428613221,1.5765151569167886,0.042344544729593946,0.6714581744237511
AGL3,1.1502148303824824,1.6654396942415035,0.58862134985267,0.09131868078367933,-0.9888609899869651,-1.6521452990551437,-1.1594658757437937
AGL1,0.554989175923719,0.44865262998154926,-1.4884748983268525,-1.8799035048414556,0.3395281499537892,1.2048310638910338,0.539033835414111
TCP16,0.838280266477083,-2.0798282754362027,-1.5517335555856981,-1.421877654694962,-1.6580598246604097,2.2033010350008286,2.9159656323879286
TGA1,-0.8115423835491764,1.2126106914076797,1.5282532657631265,2.436382638151104,-1.42994446326739,-1.676191362639162,-1.5822821312658895
ZAP1,1.4781496444265227,-1.0166573994071895,3.7327449709561864,-0.14028561700645434,-0.5802178735701843,-3.025922894313262,-3.7029622014295853
LFY,0.14973806048380953,-0.5581920075025631,1.897754677357876,-0.12658135155591146,-1.2705725928159326,0.12692027488129606,-1.4647945976828773
ABF3,-2.0995986325696574,-0.36486092588197194,-0.5571239512475534,0.890475399024356,2.18255180613838,1.2226460164231434,-0.01223801649819182
ABI5,0.8122279846654857,-0.1407598360266741,0.3848163744120562,-0.24271263625614442,-0.391311965680342,-0.28023896329757736,-0.2988667194458284
AHL12,-0.271503172920069,0.23674111780371915,0.26529501749727646,-0.08029840187130674,-0.48575501351529005,-0.14193258862990235,0.49712241932620715
AHL20,-0.5446482247952981,1.8271181305560773,-1.292200568169122,-2.2659906651795745,-1.647457165669737,0.11003635912406684,2.5342081686590996
AHL25,-0.25607260461472175,0.22513390705992453,0.25791800202460063,-0.07638980660210888,-0.48515496138404646,-0.16390715256168462,0.4916285887283625
NAC025,-0.2895932393976513,3.361080984633132,-2.7496889122297685,-0.43889530756690076,-1.1335133484999287,-0.7929681343187422,1.6025917798081804
T11I18.17,0.4410988475948059,0.6970616906758315,-0.3923773429534897,0.786899312428413,-1.7471658198825157,0.2310594928955845,0.2019203380850339
NAC055,3.1175683764924584,2.412638269521202,1.7044531220199453,-0.3418406688174141,-3.3107123279204447,-4.299399629660824,-0.4055041684774881
NAC058,1.9092855299423788,-0.11729337811012532,1.573148877260891,1.6104697459661712,-2.5295260712225534,-1.4965585646718544,-1.9602397197072416
NAC080,0.4530762806156183,0.7044887676424659,-0.3930463308897305,0.788963908401659,-1.74879018147419,0.21057697035869163,0.20314947949789225
AP1,0.3801554717879316,0.45767513684137495,-0.45088185155193006,-0.24559313526273005,0.26670753239204403,-0.4099650474922505,0.0803384924599196
ABF2,2.0752929759723293,0.9041524833156902,-0.9762135968387511,-1.1491845166227679,-1.2216507600539808,-1.0954629095162594,0.36321249087908775
ARF1,2.6842178623107658,-0.8512983898829198,-0.7935139272056807,-0.7680930971454576,-0.9409759432856066,-0.778820921934817,7.128144281234941e-4
ARF5,-0.5531532384477805,-1.6183239766302446,-2.760462111526996,0.3952270181941473,0.7237244051815277,2.7305086568111308,2.0479131121884246
