TF_id,input_meanMotifScore,bg_meanMotifScore,pvalue,padj,qvalue,rank
GSE95301.AGO1.Col-0_seedling_10d-wt_BTHcontrol,0.8362128541810643,0.7413333333333333,0.0018382064678705212,0.6470486766904234,0.0026917726037171286,159
GSE60141.ATHB-9.Col-0_leaves_tnt_col,0.03178991015894955,0.018333333333333333,0.0018457869282631739,0.647871211820374,0.0026917726037171286,160
GSE60141.TCP3.Col-0_leaves_tnt_col,0.008984105044920525,0.0026666666666666666,0.0019968820284976133,0.6989087099741647,0.00289403192535886,161
GSE60141.DREB1C.Col-0_leaves_tnt_colamp,0.1990324809951624,0.15833333333333333,0.0020241914292471073,0.7064428088072404,0.0029155020585863683,162
GSE60141.BHLH28.Col-0_leaves_tnt_col,0.0635798203178991,0.041666666666666664,0.002316927695434822,0.8062908380113181,0.003316665412687884,163
GSE60141.TGA4.Col-0_leaves_tnt_colamp,0.12854181064270906,0.1,0.002593093313832151,0.8998033798997565,0.003689360405858751,164
GSE60141.WRKY70.Col-0_leaves_tnt_col,0.0442294402211472,0.027666666666666666,0.0026694419970615477,0.9236269309832955,0.003774968480693098,165
GSE60141.WRKY30.Col-0_leaves_tnt_colamp,0.04630269523151347,0.03,0.0028931423211508147,0.9981341007970311,0.0040666659132641975,166
GSE60141.AT4G16150.Col-0_leaves_tnt_col,0.027643400138217002,0.015333333333333332,0.0030432372376361714,1,0.004252028076537564,167
GSE60141.SPL9.Col-0_leaves_tnt_col,0.038700760193503804,0.023,0.0031321277769524422,1,0.004350177467989503,168
GSE60141.AtbZIP3.Col-0_leaves_tnt_col,0.11679336558396683,0.08766666666666667,0.0032042366445895355,1,0.004423995367283382,169
GSE60141.BEH4.Col-0_leaves_tnt_col,0.05736005528680028,0.03866666666666667,0.0035662336336261544,1,0.0048948304775260935,170
GSE60141.ERF027.Col-0_leaves_tnt_colamp,0.15480304077401522,0.122,0.003629858023764831,1,0.0049530226445134145,171
GSE60141.VRN1.Col-0_leaves_tnt_col,0.0746371803731859,0.052,0.0036866009166955623,1,0.005001202793966848,172
GSE60141.WRKY27.Col-0_leaves_tnt_col,0.011748445058742226,0.004666666666666667,0.003919067563539437,1,0.005285832937336428,173
GSE95301.AGO1.Col-0_seedling_10d-wt_IAA,0.8009675190048376,0.7153333333333334,0.004154985544989834,1,0.00557181969634652,174
GSE95301.AGO1.Col-0_seedling_10d-wt-BTH,0.8037318590186593,0.706,0.004210836662538458,1,0.0056144488833846104,175
GSE40329.RPS4.Col-0_leaves_3-5w-eds1,0.1022805805114029,0.075,0.004425031330435607,1,0.0058665188092896295,176
GSE60141.SPL14.Col-0_leaves_tnt_col,0.04837595024187975,0.03266666666666666,0.004520751813800629,1,0.005959559829869003,177
