TF_id,num_TFHit_inputFeature,inputRatio,bgRatio,pvalue,odds_ratio,padj,qvalue,rank
GSE66289.WRKY33.Col-0_leaves_4w-Bc,846,846/1447,9909/22994,5.297335865385209e-34,1.9389744915647062,2.452666505673352e-31,3.238696398999737e-33,41
GSE52400.BBM.Col-0_whole-embryogenic-seedling,1140,1140/1447,14889/22994,2.869755654775176e-33,2.1060307770484474,1.3258271125061313e-30,1.7127430574531208e-32,42
GSE80564.GBF2.Col-0_seedling_3d-ABA,1091,1091/1447,14070/22994,2.8262745504685816e-32,2.023008416621554,1.302912567766016e-29,1.6475646991878862e-31,43
GSE80564.ABF1.Col-0_seedling_3d-ABA,1044,1044/1447,13288/22994,1.1405520066002208e-31,1.9682337862642392,5.246539230361016e-29,6.497690219419439e-31,44
GSE80564.ANAC102.Col-0_seedling_3d-EtOH,758,758/1447,8731/22994,9.940592788732974e-31,1.8729924019205062,4.562732090028435e-28,5.537278353427553e-30,45
GSE35315.PIF4.Col-0_seedling-etiolated,222,222/1447,1616/22994,9.553296661289797e-30,2.6197770269932086,4.375409870870727e-27,5.205854412528933e-29,46
GSE43284.PIF4.Col-0_seedling_3d,184,184/1447,1224/22994,2.3269946839082902e-29,2.8724547422526268,1.0634365705460886e-26,1.2410638314177546e-28,47
GSE80564.ATHB-5.Col-0_seedling_3d-EtOH,1076,1076/1447,13988/22994,3.3687256197164586e-29,1.939513314326462,1.5361388825907053e-26,1.7592233791852616e-28,48
GSE80564.ABF1.Col-0_seedling_3d-EtOH,657,657/1447,7334/22994,9.640131146567096e-29,1.8521436026697422,4.386259671688029e-26,4.931550083141807e-28,49
GSE94486.ARR12.Col-0_seedling_3d-6BA-4h,550,550/1447,5848/22994,7.812830418019626e-28,1.8805927649564802,3.5470250097809105e-25,3.916832316233839e-27,50
GSE36361.APRR5.Col-0_whole-plant_18d,549,549/1447,5878/22994,5.6375832546236465e-27,1.8604162840979812,2.553825214344512e-24,2.77089059312221e-26,51
GSE39215.PIF3.Col-0_seedling_2d,193,193/1447,1379/22994,8.646804676417062e-27,2.6420389080821725,3.908355713740512e-24,4.168203279913865e-26,52
GSE59187.RGA.Ler_seedling_11d,335,335/1447,3059/22994,3.3597727782813433e-26,2.081643896232291,1.5152575230048858e-23,1.5890246096022454e-25,53
