TF_id,input_meanMotifScore,bg_meanMotifScore,pvalue,padj,qvalue,rank
MYB101,4.15609955568711,3.317021201864046,5.359729997051392e-4,0.15221633191625952,3.1289234577381106e-4,185
MYB27,1.6711978736690072,1.1930320241322496,5.853087553934536e-4,0.16564237777634738,3.388210122333011e-4,186
bZIP44,2.173211745620844,1.7639107895941624,5.866623082187714e-4,0.16564237777634738,3.388210122333011e-4,187
WRKY22,3.4591916531124527,2.5857627182459293,6.097682284786999e-4,0.17134487220251468,3.502923865728702e-4,188
AT-GTL1,2.55589681310707,1.9002031219870084,6.174091975684214e-4,0.172874575319158,3.528052557533837e-4,189
LCL1,2.650921542001272,1.9861211223858377,6.382992871698494e-4,0.17808550112038798,3.628227527070723e-4,190
WRKY57,2.6787823068472445,1.9853802220918404,6.565963646793932e-4,0.1825337893808713,3.71269148614526e-4,191
bZIP50,1.8430645469920377,1.3525012273903991,6.838948929616111e-4,0.1894388853503663,3.846908772909063e-4,192
AT1G76880,3.9263752566710317,3.0908950650943186,6.938399396742323e-4,0.1914998233500881,3.8826276417003677e-4,193
WRKY12,1.6023131884248765,1.1614780289022095,7.227138950585888e-4,0.19874632114111193,4.023355704449876e-4,194
HAT5,2.3117888000719162,1.742375594841454,7.28592202335679e-4,0.19963426343997606,4.035279889859146e-4,195
AT3G46070,3.2369142169107183,2.4173848902488904,8.02346306900716e-4,0.21904054178389548,4.421091895167211e-4,196
MYB113,1.912701469955276,1.4045201294549094,8.860917151188981e-4,0.2410169465123403,4.829752114285861e-4,197
ATHB4,1.3632724710997817,0.877166561934616,8.891327756207914e-4,0.2410169465123403,4.829752114285861e-4,198
ZHD1,4.475834044465434,3.377336778890899,8.89926546984154e-4,0.2410169465123403,4.829752114285861e-4,199
ATHB-12,1.1111566042061805,0.7677091093078935,9.27872307235517e-4,0.24959765064635409,5.010510459071793e-4,200
TCP15,2.467247099486357,1.746170724934812,9.358888564629336e-4,0.25081821353206624,5.028656542188898e-4,201
HYH,2.468444146777809,1.9325568402040527,9.594439718241891e-4,0.2561715404770585,5.129700443416457e-4,202
WRKY30,1.9050584238228851,1.367628442815226,9.79597664931434e-4,0.26057297887176145,5.190703957426376e-4,203
At5g05790,3.186302207496038,2.4661564278934405,9.804663030694265e-4,0.26057297887176145,5.190703957426376e-4,204
PHL1,2.086584828881098,1.6138362415474783,0.0010240525453014944,0.27034987195959453,5.395008531344458e-4,205
AGL42,4.331562825987992,3.527762049989488,0.0010424019137381159,0.2741517033131245,5.465019741927986e-4,206
